timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-07 14:40:00,6.89,6.91,6.9,6.89,164.0,0.01,0.15,6.9,6.903,6.9035,349.0,256.2,207.25,0.01
2018-06-07 14:45:00,6.9,6.91,6.89,6.89,876.0,-0.01,-0.14,6.9,6.901,6.9015,475.4,333.9,242.9,0.03
2018-06-07 14:50:00,6.89,6.89,6.87,6.86,994.0,-0.02,-0.29,6.892,6.897,6.8995,609.6,423.0,288.3,0.03
2018-06-07 14:55:00,6.87,6.88,6.85,6.84,819.0,-0.02,-0.29,6.88,6.892,6.897,623.2,475.2,309.85,0.03
2018-06-07 15:00:00,6.84,6.85,6.84,6.84,603.0,0.0,0.0,6.87,6.886,6.894,691.2,528.8,335.65,0.02
2018-06-08 09:35:00,6.84,6.86,6.83,6.82,621.0,-0.01,-0.15,6.856,6.878,6.8905,782.6,565.8,362.95,0.02
2018-06-08 09:40:00,6.83,6.84,6.76,6.72,1285.0,-0.07,-1.02,6.83,6.865,6.8835,864.4,669.9,426.2,0.04
2018-06-08 09:45:00,6.76,6.78,6.75,6.74,860.0,-0.01,-0.15,6.806,6.849,6.8765,837.6,723.6,457.7,0.03
2018-06-08 09:50:00,6.75,6.76,6.75,6.74,777.0,0.0,0.0,6.786,6.833,6.869,829.2,726.2,491.05,0.03
2018-06-08 09:55:00,6.74,6.75,6.72,6.72,1304.0,-0.02,-0.3,6.762,6.816,6.86,969.4,830.3,542.25,0.04
2018-06-08 10:00:00,6.72,6.73,6.73,6.72,594.01,0.01,0.15,6.742,6.799,6.851,964.0,873.3,564.75,0.02
2018-06-08 10:05:00,6.73,6.74,6.72,6.72,817.0,-0.01,-0.15,6.734,6.782,6.8415,870.4,867.4,600.65,0.03
2018-06-08 10:10:00,6.72,6.73,6.73,6.72,198.0,0.01,0.15,6.73,6.768,6.8325,738.0,787.8,605.4,0.01
2018-06-08 10:15:00,6.72,6.73,6.71,6.7,1003.0,-0.01,-0.15,6.722,6.754,6.823,783.2,806.2,640.7,0.03
2018-06-08 10:20:00,6.71,6.73,6.73,6.71,676.26,0.02,0.3,6.724,6.743,6.8145,657.65,813.53,671.16,0.02
2018-06-08 10:25:00,6.73,6.73,6.72,6.7,880.74,-0.01,-0.15,6.722,6.732,6.805,715.0,839.5,702.65,0.03
2018-06-08 10:30:00,6.72,6.73,6.71,6.7,898.0,-0.01,-0.15,6.72,6.727,6.796,731.2,800.8,735.35,0.03
2018-06-08 10:35:00,6.71,6.71,6.68,6.67,1376.39,-0.03,-0.45,6.71,6.72,6.7845,966.88,852.44,788.02,0.05
2018-06-08 10:40:00,6.68,6.74,6.73,6.68,1091.0,0.05,0.75,6.714,6.718,6.7755,984.48,883.84,805.02,0.04
2018-06-08 10:45:00,6.74,6.74,6.72,6.72,330.0,-0.02,-0.3,6.712,6.718,6.767,915.23,786.44,808.37,0.01
2018-06-08 10:50:00,6.72,6.72,6.71,6.71,63.0,-0.01,-0.15,6.71,6.716,6.7575,751.68,733.34,803.32,0.0
2018-06-08 10:55:00,6.71,6.72,6.7,6.69,441.0,-0.01,-0.15,6.708,6.714,6.748,660.28,695.74,781.57,0.01
2018-06-08 11:00:00,6.7,6.72,6.72,6.7,78.0,0.02,0.3,6.716,6.713,6.7405,400.6,683.74,735.77,0.0
2018-06-08 11:05:00,6.72,6.72,6.72,6.72,61.0,0.0,0.0,6.714,6.714,6.734,194.6,589.54,697.87,0.0
2018-06-08 11:10:00,6.72,6.74,6.73,6.72,607.0,0.01,0.15,6.716,6.714,6.7285,250.0,582.61,698.07,0.02
2018-06-08 11:15:00,6.73,6.73,6.71,6.71,177.0,-0.02,-0.3,6.716,6.713,6.7225,272.8,512.24,675.87,0.01
2018-06-08 11:20:00,6.71,6.71,6.7,6.69,494.0,-0.01,-0.15,6.716,6.712,6.7195,283.4,471.84,636.32,0.02
2018-06-08 11:25:00,6.7,6.7,6.69,6.68,708.0,-0.01,-0.15,6.71,6.713,6.7165,409.4,405.0,628.72,0.02
2018-06-08 11:30:00,6.69,6.7,6.68,6.67,431.61,-0.01,-0.15,6.702,6.708,6.713,483.52,339.06,611.45,0.01
2018-06-08 13:05:00,6.68,6.7,6.69,6.68,162.0,0.01,0.15,6.694,6.705,6.7115,394.52,322.26,554.35,0.01
2018-06-08 13:10:00,6.69,6.69,6.69,6.68,206.0,0.0,0.0,6.69,6.703,6.7095,400.32,336.56,534.95,0.01
2018-06-08 13:15:00,6.69,6.69,6.69,6.68,420.0,0.0,0.0,6.688,6.702,6.708,385.52,334.46,515.1,0.01
2018-06-08 13:20:00,6.69,6.7,6.7,6.69,89.0,0.01,0.15,6.69,6.7,6.7065,261.72,335.56,509.65,0.0
2018-06-08 13:25:00,6.7,6.7,6.68,6.68,286.0,-0.02,-0.3,6.69,6.696,6.705,232.6,358.06,473.8,0.01
2018-06-08 13:30:00,6.68,6.7,6.69,6.68,190.0,0.01,0.15,6.69,6.692,6.703,238.2,316.36,449.49,0.01
2018-06-08 13:35:00,6.69,6.69,6.69,6.68,269.0,0.0,0.0,6.69,6.69,6.7015,250.8,325.56,418.9,0.01
2018-06-08 13:40:00,6.69,6.7,6.7,6.69,520.0,0.01,0.15,6.692,6.69,6.701,270.8,328.16,400.0,0.02
2018-06-08 13:45:00,6.7,6.7,6.7,6.69,66.0,0.0,0.0,6.692,6.691,6.702,266.2,263.96,334.48,0.0
2018-06-08 13:50:00,6.7,6.7,6.69,6.68,310.0,-0.01,-0.15,6.694,6.692,6.7,271.0,251.8,295.43,0.01
2018-06-08 13:55:00,6.69,6.69,6.69,6.68,32.0,0.0,0.0,6.694,6.692,6.6985,239.4,238.8,280.53,0.0
2018-06-08 14:00:00,6.69,6.7,6.68,6.68,185.0,-0.01,-0.15,6.692,6.691,6.697,222.6,236.7,286.63,0.01
2018-06-08 14:05:00,6.68,6.69,6.68,6.68,276.61,0.0,0.0,6.688,6.69,6.696,173.92,222.36,278.41,0.01
2018-06-08 14:10:00,6.68,6.68,6.65,6.64,1643.0,-0.03,-0.45,6.678,6.685,6.6925,489.32,377.76,356.66,0.06
2018-06-08 14:15:00,6.65,6.67,6.66,6.64,317.0,0.01,0.15,6.672,6.683,6.6895,490.72,380.86,369.46,0.01
2018-06-08 14:20:00,6.66,6.67,6.65,6.65,339.0,-0.01,-0.15,6.664,6.679,6.6855,552.12,395.76,356.06,0.01
2018-06-08 14:25:00,6.65,6.67,6.66,6.65,258.0,0.01,0.15,6.66,6.676,6.683,566.72,394.66,360.11,0.01
2018-06-08 14:30:00,6.66,6.68,6.67,6.66,89.0,0.01,0.15,6.658,6.673,6.6815,529.2,351.56,339.86,0.0
